Timestamp,Schedule_Mode,FPS,Leaf_Lat_ms,Pest_Lat_ms,CPU_%,RAM_MB,Temp_C,Freq_MHz,Batt_Voltage_mV,Batt_Current_mA,Batt_Percent,Batt_State,Leaf_Detections,Pest_Detections
17:01:09.110,sequential,10.0,461.0,186.3,35.1,942.2,45.8,2400,16553,-311,99,idle,None,None
17:01:09.613,sequential,10.0,442.2,176.9,92.2,941.2,46.3,2400,16504,-476,99,idle,None,None
17:01:10.115,sequential,10.0,442.2,176.9,12.8,940.9,43.5,2400,16542,-493,99,idle,None,None
17:01:10.618,sequential,10.0,442.2,176.9,5.0,940.9,42.5,1700,16551,-329,99,idle,None,None
17:01:11.123,sequential,10.0,442.2,176.9,72.3,940.8,48.5,2400,16529,-372,99,idle,None,None
17:01:11.626,sequential,9.9,450.5,324.6,77.4,949.6,45.8,2400,16507,-531,99,idle,None,None
17:01:12.128,sequential,9.9,450.5,324.6,5.0,949.0,43.5,2400,16545,-469,99,idle,None,None
17:01:12.630,sequential,8.3,450.5,324.6,4.5,949.0,43.0,2400,16551,-318,99,idle,None,None
17:01:13.135,sequential,8.3,450.5,324.6,78.2,951.0,48.0,2400,16516,-405,99,idle,None,None
17:01:13.639,sequential,9.9,494.6,220.1,65.7,956.6,45.8,2400,16502,-548,99,idle,None,None
17:01:14.142,sequential,9.9,494.6,220.1,6.0,978.9,44.1,2400,16542,-470,99,idle,None,None
17:01:14.645,sequential,10.1,494.6,220.1,21.0,994.9,43.5,2400,16547,-335,99,idle,None,None
17:01:15.152,sequential,10.1,494.6,220.1,87.5,976.6,48.0,2400,16523,-413,99,idle,None,None
17:01:15.655,sequential,10.0,694.9,175.7,76.9,976.6,46.9,2400,16503,-558,99,idle,None,None
17:01:16.157,sequential,10.0,694.9,175.7,5.0,976.6,44.1,2400,16543,-467,99,idle,None,None
17:01:16.660,sequential,10.0,694.9,175.7,6.5,994.4,43.5,2400,16548,-311,99,idle,None,None
17:01:17.167,sequential,10.0,694.9,175.7,85.9,994.0,49.0,2400,16510,-413,99,idle,None,None
17:01:17.669,sequential,10.0,463.5,182.9,44.3,993.8,45.2,2400,16511,-524,99,idle,None,None
17:01:18.172,sequential,10.0,463.5,182.9,5.5,990.3,45.2,2400,16542,-428,99,idle,None,None
17:01:18.683,sequential,10.0,463.5,182.9,23.4,990.3,46.9,2400,16545,-321,99,idle,None,None
17:01:19.186,sequential,10.0,452.4,182.9,98.5,988.3,49.0,2400,16501,-472,99,idle,None,None
17:01:19.688,sequential,10.0,452.4,189.1,12.5,983.6,45.2,2400,16534,-520,99,idle,None,None
17:01:20.191,sequential,10.0,452.4,189.1,5.0,980.8,44.1,2400,16546,-359,99,idle,None,None
17:01:20.696,sequential,9.9,452.4,189.1,56.5,980.8,48.5,2400,16541,-342,99,idle,None,None
17:01:21.198,sequential,9.9,468.3,188.0,77.6,976.7,46.3,2400,16506,-508,99,idle,None,None
17:01:21.701,sequential,10.1,468.3,188.0,11.5,976.7,45.2,2400,16540,-479,99,idle,None,None
17:01:22.203,sequential,10.1,468.3,188.0,5.0,969.7,44.6,2400,16544,-317,99,idle,None,None
17:01:22.711,sequential,9.5,468.3,188.0,86.0,969.7,48.0,2400,16512,-402,99,idle,None,None
17:01:23.213,sequential,9.5,457.5,174.9,44.3,967.2,45.8,2400,16506,-515,99,idle,None,None
17:01:23.716,sequential,10.0,457.5,174.9,5.5,967.2,45.2,2400,16542,-426,99,idle,None,None
17:01:24.222,sequential,10.0,457.5,174.9,25.1,964.4,48.0,2400,16543,-315,99,idle,None,None
17:01:24.730,sequential,9.9,451.9,174.9,99.0,964.4,49.6,2400,16496,-471,99,idle,None,None
17:01:25.233,sequential,9.9,451.9,196.2,10.4,958.6,46.3,2400,16529,-528,99,idle,None,None
17:01:25.735,sequential,10.0,451.9,196.2,5.0,958.6,45.8,2400,16539,-372,99,idle,None,None
17:01:26.247,sequential,10.0,451.9,196.2,57.2,957.1,49.0,2400,16539,-346,99,idle,None,None
17:01:26.749,sequential,10.0,450.6,184.6,73.9,976.7,47.4,2400,16500,-507,99,idle,None,None
17:01:27.251,sequential,10.0,450.6,184.6,5.5,976.2,45.8,2400,16539,-474,99,idle,None,None
17:01:27.754,sequential,10.0,450.6,184.6,5.0,976.2,45.8,2400,16542,-309,99,idle,None,None
17:01:28.259,sequential,10.0,463.5,184.6,91.6,974.6,50.1,2400,16505,-412,99,idle,None,None
17:01:28.761,sequential,10.0,463.5,179.5,39.2,973.0,46.9,2400,16504,-524,99,idle,None,None
17:01:29.264,sequential,10.0,463.5,179.5,5.0,965.2,46.3,2400,16536,-426,99,idle,None,None
17:01:29.767,sequential,10.0,463.5,179.5,28.6,965.2,48.5,2400,16540,-318,99,idle,None,None
17:01:30.269,sequential,10.0,439.3,179.9,98.5,960.9,49.6,2400,16492,-473,99,idle,None,None
17:01:30.772,sequential,10.0,439.3,179.9,4.5,960.9,45.8,2400,16524,-528,99,idle,None,None
17:01:31.274,sequential,10.0,439.3,179.9,5.5,958.8,45.2,1700,16536,-376,99,idle,None,None
17:01:31.914,sequential,9.9,439.3,179.9,72.5,962.3,49.6,2400,16527,-443,99,idle,None,None
17:01:32.417,sequential,9.9,559.5,188.8,60.5,960.6,46.9,2400,16501,-551,99,idle,None,None
17:01:32.919,sequential,7.8,559.5,188.8,5.5,960.6,45.8,2400,16532,-430,99,idle,None,None
17:01:33.426,sequential,7.8,559.5,188.8,7.0,958.5,46.9,2400,16535,-326,99,idle,None,None
17:01:33.933,sequential,9.9,458.9,188.8,100.0,958.5,50.7,2400,16488,-486,99,idle,None,None
17:01:34.436,sequential,9.9,458.9,170.8,26.7,955.5,47.4,2400,16521,-537,99,idle,None,None
17:01:34.939,sequential,10.0,458.9,170.8,5.0,955.5,46.3,2400,16532,-383,99,idle,None,None
17:01:35.444,sequential,10.0,458.9,170.8,42.0,953.6,50.1,2400,16521,-387,99,idle,None,None
17:01:35.946,sequential,10.0,447.4,183.4,86.1,953.4,49.0,2400,16488,-544,99,idle,None,None
17:01:36.449,sequential,10.0,447.4,183.4,5.0,951.9,46.9,2400,16529,-497,99,idle,None,None
